alpha,CL,CD,CM
-12,-0.5919,0.1484,0.0275
-11.5,-0.6019,0.14393,0.0265
-11,-0.5642,0.13362,0.0265
-10.5,-0.572,0.12876,0.0264
-10,-0.5417,0.11986,0.0266
-9.5,-0.53,0.1127,0.0269
-9,-0.5201,0.10593,0.0276
-9,-0.5201,0.10593,0.0276
-8,-0.8132,0.05238,-0.0117
-7.5,-0.7942,0.04523,-0.0087
-7,-0.7745,0.03896,-0.0049
-6.5,-0.7414,0.03448,-0.0012
-6,-0.7036,0.03115,0.0028
-5.5,-0.6662,0.02866,0.0078
-5,-0.6312,0.02689,0.0141
-4.5,-0.5922,0.02627,0.0218
-4,-0.5523,0.02628,0.0303
-3.5,-0.4942,0.02724,0.0373
-3,-0.3124,0.02953,0.0236
-2.5,-0.1289,0.0279,-0.0002
-2,0.002,0.02451,-0.0199
-1.5,0.0195,0.02291,-0.0187
-1,0.0285,0.02176,-0.0154
-0.5,0.0224,0.02108,-0.0092
0,0,0.02086,0
0.5,-0.0224,0.02107,0.0092
1,-0.0285,0.02175,0.0154
1.5,-0.0194,0.0229,0.0187
2,-0.0018,0.02451,0.0199
2.5,0.129,0.0279,0.0002
3,0.3125,0.02952,-0.0236
3.5,0.4942,0.02724,-0.0373
4,0.5523,0.02628,-0.0303
4.5,0.5922,0.02627,-0.0218
5,0.6312,0.02688,-0.0141
5.5,0.6662,0.02866,-0.0078
6,0.7035,0.03114,-0.0028
6.5,0.7413,0.03447,0.0012
7,0.7746,0.03896,0.0049
7.5,0.7942,0.04523,0.0087
8,0.8132,0.05238,0.0117
9,0.5214,0.10598,-0.0278
9,0.5214,0.10598,-0.0278
9.5,0.5315,0.11275,-0.0271
10,0.5426,0.11987,-0.0268
10.5,0.5723,0.12871,-0.0266
11,0.5656,0.13367,-0.0267
11.5,0.6022,0.14389,-0.0267
12,0.5925,0.1484,-0.0277
