x/c,y/c
1.000,0.001676
0.999,0.002066
0.994,0.003229
0.986,0.005144
0.976,0.007776
0.962,0.011077
0.946,0.014991
0.927,0.01945
0.906,0.024383
0.881,0.029709
0.855,0.035347
0.826,0.041213
0.795,0.04722
0.763,0.053282
0.729,0.059313
0.693,0.065226
0.656,0.070936
0.618,0.076356
0.579,0.0814
0.540,0.085985
0.501,0.090027
0.461,0.093447
0.422,0.096171
0.383,0.09811
0.344,0.099054
0.307,0.098936
0.270,0.097741
0.236,0.095475
0.202,0.092163
0.171,0.087849
0.142,0.0826
0.115,0.076495
0.091,0.069631
0.069,0.062112
0.050,0.054051
0.034,0.04556
0.021,0.036746
0.011,0.027707
0.004,0.018529
0.001,0.009278
0.000,0
0.002,-0.00897
0.008,-0.017307
0.016,-0.024992
0.028,-0.032001
0.042,-0.03831
0.059,-0.043895
0.078,-0.048734
0.100,-0.052812
0.124,-0.056123
0.151,-0.058672
0.179,-0.060475
0.210,-0.061561
0.242,-0.061975
0.276,-0.061773
0.310,-0.061022
0.347,-0.059797
0.384,-0.05818
0.422,-0.056224
0.460,-0.053858
0.499,-0.051138
0.538,-0.048139
0.577,-0.044929
0.615,-0.041575
0.653,-0.038133
0.690,-0.034658
0.725,-0.031194
0.760,-0.027782
0.792,-0.024459
0.823,-0.021256
0.852,-0.018204
0.879,-0.015331
0.903,-0.012664
0.925,-0.01023
0.945,-0.008054
0.961,-0.006163
0.975,-0.004579
0.986,-0.003323
0.994,-0.002413
0.998,-0.001861
1.000,-0.001676
