Alpha,Cl,Cd,Cm
-10.0,-0.9596,0.01477,-0.0107
-9.0,-0.8604,0.01294,-0.0082
-8.0,-0.7595,0.01115,-0.0058
-7.0,-0.6517,0.01026,-0.0047
-6.0,-0.5413,0.00966,-0.0041
-5.0,-0.4301,0.00904,-0.0036
-4.0,-0.317,0.00871,-0.0034
-3.0,-0.2052,0.00807,-0.003
-2.0,-0.093,0.00743,-0.0027
-1.0,0.0209,0.00714,-0.0028
1.0,0.2165,0.00571,0.0019
2.0,0.3607,0.00634,-0.0048
3.0,0.5177,0.00705,-0.015
4.0,0.644,0.00754,-0.0186
5.0,0.7725,0.008,-0.0228
6.0,0.897,0.00859,-0.0263
7.0,1.0004,0.00919,-0.0253
8.0,1.0981,0.0098,-0.0232
9.0,1.1941,0.01054,-0.0208
10.0,1.2871,0.01146,-0.0181
