Alpha,Cl,Cd,Cm
-20.0,-0.5356,0.20933,0.0289
-19.0,-0.5501,0.20757,0.0216
-18.0,-0.5104,0.19024,0.0195
-17.0,-0.4919,0.17932,0.0161
-16.0,-0.4793,0.16943,0.0124
-15.0,-0.4697,0.15993,0.0089
-14.0,-0.4678,0.15133,0.0059
-13.0,-0.488,0.14406,0.003
-12.0,-0.4779,0.13059,0.0013
-11.0,-0.4726,0.11722,0.0
-10.0,-0.8516,0.04602,-0.0298
-9.0,-0.8719,0.03032,-0.019
-8.0,-0.8477,0.03239,-0.0104
-7.0,-0.7661,0.02651,-0.0054
-6.0,-0.6865,0.02189,0.0002
-5.0,-0.6147,0.01878,0.0077
-4.0,-0.5388,0.01716,0.0157
-3.0,-0.4595,0.01651,0.0246
-2.0,-0.3746,0.01699,0.034
-1.0,-0.1645,0.01853,0.0177
0.0,0.0,0.01809,-0.0
1.0,0.1644,0.01853,-0.0177
2.0,0.3745,0.01699,-0.0339
3.0,0.4594,0.01651,-0.0246
4.0,0.5387,0.01716,-0.0157
5.0,0.6147,0.01878,-0.0077
6.0,0.6864,0.02189,-0.0002
7.0,0.7661,0.02651,0.0054
8.0,0.8477,0.03239,0.0104
9.0,0.9144,0.04129,0.016
10.0,0.9537,0.05299,0.0224
11.0,0.9123,0.07102,0.0292
12.0,0.4772,0.1304,-0.0013
13.0,0.4874,0.14384,-0.0029
14.0,0.4668,0.15101,-0.0058
15.0,0.4686,0.15958,-0.0088
16.0,0.4781,0.16906,-0.0122
17.0,0.4908,0.17892,-0.0159
18.0,0.5095,0.18989,-0.0193
19.0,0.5456,0.20592,-0.0215
20.0,0.5342,0.20882,-0.0286
