Alpha,Cl,Cd,Cm
-10.0,-0.6671,0.10333,0.0001
-9.0,-0.7946,0.06767,-0.0171
-8.0,-0.8139,0.04959,-0.0126
-7.0,-0.7636,0.03867,-0.006
-6.0,-0.6919,0.03187,0.0016
-5.0,-0.6181,0.0283,0.0129
-4.0,-0.5379,0.02755,0.0274
-3.0,-0.3463,0.02953,0.0256
-2.0,-0.0063,0.02577,-0.0199
-1.0,0.0181,0.02322,-0.0145
0.0,-0.0,0.02239,-0.0
1.0,-0.0181,0.02322,0.0145
2.0,0.0064,0.02576,0.0199
3.0,0.3464,0.02953,-0.0256
4.0,0.5378,0.02755,-0.0274
5.0,0.6181,0.0283,-0.0129
6.0,0.6919,0.03187,-0.0016
7.0,0.7636,0.03867,0.006
8.0,0.8139,0.04959,0.0126
9.0,0.7947,0.06769,0.017
10.0,0.6679,0.10337,-0.0003
