Alpha,Cl,Cd,Cm
-10,-0.2477,0.11877,-0.0116
-9,-0.2159,0.10873,-0.0163
-8,-0.1851,0.09925,-0.0203
-7,-0.1549,0.09057,-0.0236
-6,-0.1248,0.08292,-0.0257
-5,-0.0952,0.07644,-0.0265
-4,-0.0669,0.07122,-0.0254
-3,-0.0417,0.06723,-0.0223
-2,-0.0221,0.06446,-0.0167
-1,-0.0091,0.06282,-0.009
0,0,0.06227,0
1,0.0091,0.06281,0.009
2,0.0221,0.06445,0.0167
3,0.0418,0.06722,0.0223
4,0.0671,0.0712,0.0254
5,0.0955,0.07642,0.0264
6,0.1252,0.08289,0.0257
7,0.1554,0.09054,0.0235
8,0.1858,0.09922,0.0202
9,0.2167,0.10871,0.0162
10,0.2487,0.11877,0.0114
