Alpha,Cl,Cd,Cm
-180,-1.8,0.0096,-0.005
-170,-1.7,0.0098,-0.005
-160,-1.6,0.0101,-0.005
-150,-1.5,0.0105,-0.005
-140,-1.4,0.011,-0.005
-130,-1.3,0.01125,-0.005
-120,-1.2,0.0116,-0.005
-110,-1.1,0.01195,-0.005
-100,-1,0.0123,-0.005
-90,-0.9,0.01265,-0.005
-80,-0.8,0.013,-0.005
-70,-0.7,0.01335,-0.005
-60,-0.6,0.0137,-0.005
-50,-0.5,0.01405,-0.005
-40,-0.4,0.0144,-0.005
-30,-0.3,0.01475,-0.005
-20,-0.2,0.0151,-0.005
-10,-0.1,0.01545,-0.005
0,0,0.0158,-0.005
10,0.1,0.01545,-0.005
20,0.2,0.0151,-0.005
30,0.3,0.01475,-0.005
40,0.4,0.0144,-0.005
50,0.5,0.01405,-0.005
60,0.6,0.0137,-0.005
70,0.7,0.01335,-0.005
80,0.8,0.013,-0.005
90,0.9,0.01265,-0.005
100,1,0.0123,-0.005
110,1.1,0.01195,-0.005
120,1.2,0.0116,-0.005
130,1.3,0.01125,-0.005
140,1.4,0.011,-0.005
150,1.5,0.0105,-0.005
160,1.6,0.0101,-0.005
170,1.7,0.0098,-0.005
180,1.8,0.0096,-0.005
