x/c,y/c
1,0.002075113
0.945489154,0.005928806
0.884421074,0.015315849
0.816999317,0.025895064
0.744175424,0.036469805
0.667471109,0.046058564
0.588782957,0.053336937
0.510367307,0.058368518
0.434432845,0.061358555
0.362898032,0.062695573
0.297215791,0.062657676
0.238310954,0.061647833
0.186594717,0.059733661
0.142071201,0.056647989
0.104452074,0.052244381
0.073342403,0.046169463
0.048332771,0.038292202
0.028671336,0.029639678
0.013896077,0.020377224
0.003916942,0.010504857
0,0
0.006985711,-0.008131909
0.020240069,-0.012495485
0.037236044,-0.015685883
0.058267717,-0.018661626
0.084008496,-0.02143008
0.115164847,-0.023986857
0.152408747,-0.026419266
0.196315455,-0.028692675
0.247252852,-0.030695461
0.305264341,-0.032247184
0.369958512,-0.033221363
0.440439569,-0.03330189
0.515292719,-0.032250751
0.59266315,-0.029884341
0.670434517,-0.026337532
0.746443884,-0.02171873
0.818742946,-0.01653465
0.885763745,-0.01125045
0.946375411,-0.005680755
1,-0.001061794
