Alpha,Cl,Cd,Cm
-26,-0.4859,0.25323,0.0248
-24,-0.4506,0.23244,0.0135
-22.1,-0.6893,0.26115,0.0436
-20.1,-0.6205,0.2348,0.0263
-19.5,-0.6021,0.22671,0.0216
-19,-0.5842,0.22138,0.0179
-18.5,-0.5667,0.21566,0.0143
-18.1,-0.5532,0.21059,0.0113
-17.51,-0.3407,0.16775,-0.0197
-17,-1.2642,0.03639,-0.0901
-16.5,-1.288,0.02912,-0.0928
-16,-1.2809,0.02603,-0.0896
-15.5,-1.258,0.02406,-0.0866
-15,-1.2346,0.02261,-0.0826
-14.5,-1.2152,0.0212,-0.0774
-14,-1.1576,0.02001,-0.0793
-13.5,-1.097,0.01915,-0.0814
-13,-1.0345,0.0184,-0.0836
-12.5,-0.9774,0.01713,-0.0852
-12,-0.9141,0.01679,-0.0872
-11.5,-0.8511,0.01629,-0.0892
-11,-0.7918,0.01572,-0.0904
-10.5,-0.7366,0.01534,-0.0905
-10,-0.6912,0.01382,-0.0893
-9.5,-0.6392,0.01338,-0.0887
-9,-0.5866,0.01297,-0.0881
-8.5,-0.5338,0.01251,-0.0875
-8,-0.4801,0.01215,-0.0871
-7.5,-0.4295,0.011,-0.0864
-7,-0.3773,0.01016,-0.0858
-6.5,-0.323,0.0097,-0.0855
-6,-0.2686,0.00923,-0.0851
-5.5,-0.2141,0.00883,-0.0848
-5,-0.1593,0.00852,-0.0845
-4.5,-0.1043,0.00814,-0.0842
-4,-0.0496,0.00768,-0.0839
-3.5,0.0058,0.00745,-0.0836
-3,0.0615,0.00728,-0.0835
-2.5,0.1176,0.00712,-0.0834
-2,0.1735,0.00695,-0.0832
-1.5,0.2289,0.00668,-0.0831
-1,0.2841,0.00648,-0.0829
-0.5,0.3388,0.00622,-0.0828
0,0.3938,0.0061,-0.0826
0.5,0.4481,0.00589,-0.0824
1,0.5,0.00549,-0.0818
1.51,0.546,0.005,-0.0793
2,0.6032,0.00518,-0.0796
2.5,0.6768,0.00557,-0.0836
3,0.7445,0.00617,-0.0866
3.5,0.7912,0.00657,-0.0848
4,0.8401,0.00686,-0.0834
4.5,0.89,0.00712,-0.0822
5,0.9408,0.0074,-0.0812
5.5,0.9927,0.00765,-0.0805
6,1.044,0.00799,-0.0797
6.5,1.0949,0.00838,-0.079
7,1.1427,0.009,-0.0777
7.5,1.1853,0.01001,-0.0757
8,1.2281,0.01099,-0.0737
8.5,1.2726,0.0118,-0.0721
9,1.3176,0.01253,-0.0706
9.5,1.3506,0.01405,-0.0672
10,1.3829,0.01539,-0.0636
10.5,1.4181,0.01631,-0.0605
11,1.4497,0.01744,-0.0571
11.5,1.4809,0.01862,-0.0538
12,1.5108,0.0199,-0.0507
12.5,1.5366,0.02152,-0.0473
13,1.5566,0.02364,-0.0438
13.5,1.5802,0.02561,-0.041
14,1.5997,0.02802,-0.0383
14.5,1.6162,0.03084,-0.0359
15,1.6276,0.03428,-0.0336
15.5,1.6295,0.03886,-0.0315
16,1.6168,0.04541,-0.03
16.5,1.618,0.05088,-0.0296
17,1.6137,0.05738,-0.0299
17.5,1.6031,0.06501,-0.0308
18,1.5851,0.0741,-0.0327
18.5,1.5611,0.0844,-0.0353
19,1.5325,0.09582,-0.0389
19.5,1.4987,0.10846,-0.0434
20,1.4665,0.12108,-0.0484
22,1.365,0.17049,-0.0739
24,1.3225,0.21314,-0.1025
26,1.3139,0.25016,-0.1313
