alpha,Cl,Cd,Cm
-4.000000,-0.435371,0.005584,0.005700
-3.000000,-0.333633,0.002364,0.002600
-2.000000,-0.223619,0.000504,0.002200
-1.000000,-0.108629,-0.000704,0.002700
0.000000,-0.009800,-0.000000,0.002600
1.000000,0.082682,0.001743,0.001900
2.000000,0.175963,0.004144,0.002000
3.000000,0.271399,0.005211,0.002100
4.000000,0.365738,0.007932,0.002800
5.000000,0.466158,0.009364,0.004300
6.000000,0.563044,0.010914,0.005000
7.000000,0.658468,0.012641,0.006000
8.000000,0.749259,0.015326,0.008100
9.000000,0.834465,0.016037,0.010400
10.000000,0.914924,0.015409,0.014700
11.000000,0.988267,0.015149,0.019200
12.000000,1.046698,0.022002,0.020600
