Alpha,Cl,Cd,Cm
-10,-0.9775,0.0132,-0.0071
-9,-0.876,0.01151,-0.0049
-8,-0.7709,0.01012,-0.0034
-7,-0.6636,0.00901,-0.0022
-6,-0.5527,0.00835,-0.0016
-5,-0.44,0.0079,-0.0014
-4,-0.3266,0.00749,-0.0013
-3,-0.2128,0.0071,-0.0013
-2,-0.0984,0.00678,-0.0015
-1,0.0154,0.00672,-0.0017
0,0.1272,0.00746,-0.0021
1,0.2302,0.00653,-0.0008
2,0.335,0.00547,0.0007
3,0.4739,0.00609,-0.0053
4,0.61,0.00665,-0.011
5,0.7333,0.00712,-0.0139
6,0.8588,0.00765,-0.0176
7,0.9836,0.00819,-0.0212
8,1.1054,0.00879,-0.0244
9,1.207,0.00949,-0.0232
10,1.297,0.01083,-0.0202
