Alpha,Cl,Cd,Cm
-10,-0.4508,0.11488,-0.0126
-9,-0.4348,0.10206,-0.0134
-8,-0.4338,0.08954,-0.0137
-7,-0.4637,0.07824,-0.0097
-6,-0.5588,0.03568,-0.0318
-5,-0.4813,0.02863,-0.0275
-4,-0.3951,0.0246,-0.0239
-3,-0.3057,0.0217,-0.0209
-2,-0.2352,0.01998,-0.0111
-1,-0.1285,0.02079,-0.0148
0,0.041,0.0236,-0.0318
1,0.2238,0.02567,-0.0482
2,0.3873,0.02677,-0.0583
3,0.5354,0.0269,-0.0625
4,0.6656,0.02644,-0.0613
5,0.7776,0.0263,-0.0565
6,0.8817,0.02585,-0.0496
7,0.9682,0.02619,-0.0409
8,1.0224,0.0293,-0.0297
9,1.1013,0.03624,-0.0247
10,1.1764,0.04541,-0.0203
