Alpha,Cl,Cd,Cm
-10.0,-0.4199,0.12166,-0.0009
-9.0,-0.4051,0.11062,0.0011
-8.0,-0.3681,0.09717,0.0034
-7.0,-0.3383,0.08423,0.005
-6.0,-0.5423,0.04946,-0.0289
-5.0,-0.486,0.03808,-0.0259
-4.0,-0.4072,0.03119,-0.0216
-3.0,-0.3266,0.02685,-0.0145
-2.0,-0.1167,0.02479,-0.0243
-1.0,-0.1164,0.0243,-0.0152
0.0,-0.0539,0.02617,-0.0134
1.0,0.0114,0.02915,-0.0132
2.0,0.123,0.03414,-0.0227
3.0,0.2946,0.04026,-0.0411
4.0,0.4298,0.04555,-0.0502
5.0,0.5525,0.05044,-0.0543
6.0,0.6713,0.0544,-0.0539
7.0,0.8405,0.05026,-0.0461
8.0,1.006,0.04243,-0.0322
9.0,1.069,0.04956,-0.0232
10.0,1.0921,0.06282,-0.0159
