Alpha,Cl,Cd,Cm
-10,-0.9941,0.01152,-0.004
-9,-0.8888,0.01026,-0.0025
-8,-0.7811,0.00921,-0.0013
-6,-0.5616,0.00743,0.0003
-5,-0.4488,0.00692,0.0005
-4,-0.3346,0.00658,0.0004
-3,-0.2197,0.00634,0.0002
-2,-0.1048,0.00631,-0.0003
-1,0.0091,0.00678,-0.0009
0,0.1231,0.00706,-0.0013
1,0.2345,0.00677,-0.0013
2,0.3383,0.00581,0
3,0.4416,0.00521,0.002
4,0.5789,0.00573,-0.0039
5,0.7022,0.0062,-0.0068
6,0.826,0.00671,-0.01
7,0.9513,0.00719,-0.0136
8,1.0739,0.00777,-0.0169
9,1.1906,0.00871,-0.0193
10,1.3024,0.00995,-0.0209
