alpha,CL,CD,CM
-30,-0.6685,0.32497,0.0788
-29,-0.6569,0.31302,0.0737
-28,-0.6478,0.30197,0.068
-27,-0.6334,0.28967,0.0632
-26,-0.622,0.27842,0.0578
-25,-0.6084,0.2676,0.0527
-24,-0.5927,0.25547,0.048
-23,-0.5925,0.25157,0.0416
-22,-0.5645,0.23462,0.0382
-21,-0.5472,0.22324,0.0339
-20,-0.5334,0.21321,0.0293
-19,-0.5198,0.2036,0.025
-18,-0.5044,0.19368,0.0211
-17,-0.4867,0.18345,0.0178
-16,-0.4745,0.1748,0.0146
-15,-0.4888,0.17186,0.0114
-14,-0.4524,0.15673,0.01
-13,-0.4416,0.14722,0.0091
-12,-0.4346,0.13735,0.0085
-11,-0.5814,0.1336,0.0241
-10,-0.5567,0.11848,0.0231
-9,-0.8258,0.06206,-0.0187
-8,-0.826,0.04598,-0.0126
-7,-0.7667,0.03611,-0.0062
-6,-0.692,0.02974,0.0009
-5,-0.619,0.02615,0.0112
-4,-0.541,0.02515,0.0245
-3,-0.4193,0.02625,0.0329
-2,-0.095,0.02578,-0.0037
-1,0.023,0.02246,-0.015
0,0,0.0216,0
1,-0.0229,0.02246,0.0149
2,0.095,0.02577,0.0037
3,0.4194,0.02624,-0.0329
4,0.541,0.02515,-0.0245
5,0.619,0.02615,-0.0112
6,0.692,0.02974,-0.0009
7,0.7667,0.03611,0.0062
8,0.826,0.04598,0.0126
9,0.8259,0.06207,0.0187
10,0.7516,0.08594,0.0168
11,0.583,0.1337,-0.0243
12,0.6122,0.14974,-0.0257
13,0.6231,0.16261,-0.0283
14,0.6568,0.17841,-0.031
15,0.6645,0.18822,-0.0366
16,0.7072,0.20584,-0.0403
17,0.7222,0.21479,-0.0479
18,0.7522,0.22725,-0.0547
19,0.7841,0.23981,-0.0619
20,0.8173,0.25276,-0.0693
21,0.8544,0.26778,-0.076
22,0.8907,0.28187,-0.0833
23,0.9151,0.28829,-0.0946
24,0.9493,0.30194,-0.1027
25,0.981,0.31233,-0.1121
26,1.011,0.32298,-0.1223
27,1.0438,0.33628,-0.1306
28,1.0713,0.3446,-0.142
29,1.101,0.35599,-0.1513
30,1.1279,0.36533,-0.1624
