alpha,CL,CD,CM
-15,-0.475,0.15775,0.008
-14.5,-0.5198,0.15856,0.003
-14,-0.474,0.1482,0.0046
-13.5,-0.5115,0.1468,0.0009
-13,-0.4779,0.1389,0.0023
-12.5,-0.5377,0.13387,-0.0047
-12,-0.7743,0.09395,-0.0164
-11.5,-0.9615,0.06557,-0.0317
-11,-0.9928,0.05768,-0.0273
-10.5,-0.9961,0.04935,-0.0238
-10,-0.9703,0.04476,-0.0215
-9.5,-0.9552,0.03932,-0.0173
-9,-0.9251,0.03464,-0.0144
-8.5,-0.889,0.03139,-0.0115
-8,-0.8471,0.02824,-0.0095
-7.5,-0.8049,0.02561,-0.0073
-7,-0.7631,0.02315,-0.005
-6.5,-0.7237,0.02114,-0.0022
-6,-0.6864,0.01933,0.0009
-5.5,-0.6505,0.01775,0.0043
-5,-0.6141,0.01653,0.0077
-4.5,-0.576,0.01565,0.0111
-4,-0.5363,0.01498,0.0144
-3.5,-0.4954,0.0145,0.0176
-3,-0.4539,0.01418,0.021
-2.5,-0.4126,0.01407,0.0247
-2,-0.3724,0.0142,0.0288
-1.5,-0.3312,0.01463,0.0329
-1,-0.2664,0.0154,0.032
-0.5,-0.1499,0.01632,0.0197
0,0,0.01675,0
0.5,0.1498,0.01632,-0.0197
1,0.2664,0.0154,-0.032
1.5,0.3312,0.01463,-0.0329
2,0.3724,0.0142,-0.0288
2.5,0.4125,0.01407,-0.0247
3,0.4538,0.01418,-0.021
3.5,0.4953,0.0145,-0.0176
4,0.5363,0.01498,-0.0144
4.5,0.5759,0.01565,-0.0111
5,0.614,0.01653,-0.0077
5.5,0.6504,0.01775,-0.0043
6,0.6863,0.01933,-0.0009
6.5,0.7236,0.02114,0.0022
7,0.7631,0.02315,0.005
7.5,0.8049,0.02561,0.0073
8,0.8471,0.02824,0.0095
8.5,0.8891,0.03139,0.0114
9,0.9251,0.03464,0.0144
9.5,0.9553,0.03932,0.0173
10,0.9704,0.04476,0.0215
10.5,0.9963,0.04936,0.0237
11,0.993,0.0577,0.0272
11.5,0.9618,0.06561,0.0317
12,0.7597,0.09837,0.0126
12.5,0.5376,0.13367,0.0048
13,0.477,0.13867,-0.0022
13.5,0.5117,0.1466,-0.0008
14,0.4726,0.14785,-0.0045
14.5,0.5189,0.15823,-0.0029
15,0.4738,0.15739,-0.0079
