Alpha,Cl,Cd,Cm
-10.0,-0.4457,0.11542,-0.0118
-9.0,-0.4469,0.10371,-0.0133
-8.0,-0.441,0.09097,-0.0129
-7.0,-0.61,0.04684,-0.0374
-6.0,-0.5589,0.03604,-0.0319
-5.0,-0.4813,0.02899,-0.0276
-4.0,-0.3955,0.02492,-0.0239
-3.0,-0.3065,0.02192,-0.0207
-2.0,-0.2372,0.02017,-0.0104
-1.0,-0.1279,0.02095,-0.0148
0.0,0.0251,0.02376,-0.0291
1.0,0.2079,0.02613,-0.046
2.0,0.3727,0.02751,-0.0567
3.0,0.5362,0.02742,-0.0633
4.0,0.6625,0.02718,-0.0617
5.0,0.7717,0.02724,-0.0566
6.0,0.8802,0.0265,-0.0498
7.0,0.9686,0.02666,-0.0411
8.0,1.0233,0.02972,-0.0299
9.0,1.0981,0.03662,-0.0242
10.0,1.1793,0.04592,-0.0206
