Alpha,Cl,Cd,Cm
-10.0,-0.4476,0.11405,-0.0131
-9.0,-0.4357,0.10115,-0.0145
-8.0,-0.4352,0.08845,-0.015
-7.0,-0.6078,0.04596,-0.0373
-6.0,-0.5605,0.03426,-0.0317
-5.0,-0.481,0.02774,-0.0274
-4.0,-0.3938,0.02401,-0.024
-3.0,-0.3047,0.02126,-0.0211
-2.0,-0.2315,0.01963,-0.0125
-1.0,-0.1298,0.02047,-0.0148
0.0,0.0652,0.02312,-0.0358
1.0,0.2433,0.02474,-0.0506
2.0,0.422,0.02505,-0.0622
3.0,0.555,0.02507,-0.0635
4.0,0.6756,0.02479,-0.0609
5.0,0.7869,0.02468,-0.0562
6.0,0.8879,0.02448,-0.0493
7.0,0.9685,0.02523,-0.0407
8.0,1.0223,0.02848,-0.0297
9.0,1.0967,0.0353,-0.0241
10.0,1.174,0.04414,-0.0199
