Alpha,Cl,Cd,Cm
-10.0,-0.4752,0.11283,-0.0179
-9.0,-0.4494,0.09824,-0.0184
-8.0,-0.4581,0.08559,-0.0194
-7.0,-0.6187,0.04162,-0.037
-6.0,-0.5628,0.03138,-0.0312
-5.0,-0.4802,0.02574,-0.027
-4.0,-0.3918,0.02247,-0.024
-3.0,-0.3029,0.02019,-0.0215
-2.0,-0.2233,0.01877,-0.0157
-1.0,-0.0639,0.01996,-0.0268
0.0,0.1322,0.02141,-0.0462
1.0,0.311,0.02181,-0.0594
2.0,0.4715,0.0212,-0.0662
3.0,0.589,0.02098,-0.0641
4.0,0.6975,0.02099,-0.06
5.0,0.7967,0.02158,-0.0548
6.0,0.891,0.02195,-0.0482
7.0,0.9699,0.02292,-0.0402
8.0,1.0196,0.02658,-0.0295
9.0,1.0942,0.03301,-0.0241
10.0,1.1784,0.04092,-0.0207
