r/R,y/R (y-distance of LE from the middle point of hub)
0,0
0.15,0.0779435
0.175,0.0756635
0.2,0.074627
0.225,0.0742125
0.25,0.0744195
0.275,0.074834
0.3,0.075456
0.325,0.0764925
0.35,0.0773215
0.375,0.078151
0.4,0.07898
0.425,0.079602
0.45,0.0800165
0.475,0.080224
0.5,0.080224
0.525,0.080224
0.55,0.0798095
0.575,0.0791875
0.6,0.078358
0.625,0.0773215
0.65,0.076285
0.675,0.0750415
0.7,0.0735905
0.725,0.0721395
0.75,0.070688
0.775,0.06903
0.8,0.067164
0.825,0.0652985
0.85,0.0632255
0.875,0.0609455
0.9,0.0582505
0.925,0.055141
0.95,0.051824
0.975,0.0476783
1,0.0254975
